code,market,product_name,brands,stores,categories,nutriscore_grade,nova_group,ecoscore_grade,image_url,image_front_url,image_front_small_url,energy-kcal_100g,sugars_100g,salt_100g,fat_100g,proteins_100g
8710449944712,Poland,Бланширани замразени картофи,Aviko,,"en:Chips and fries, Пържени картофи, Замразени пържени картофи",b,1,,,,,,,,,
5901069001241,Poland,,Łosoś Ustka,,"Seafood, Canned foods, Fishes, Fatty fishes, Canned fishes, Salmons, Canned salmons",c,4,,,,,,,,,
8720182508584,Poland,,Knorr,Biedronka,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Cooking helpers, Bread crumbs",b,4,,,,,,,,,
5907487800404,Poland,,Marina Spices,Biedronka,"Plant-based foods and beverages, Plant-based foods, Condiments, Spices, Spice Mix",not-applicable,4,,,,,,,,,
5904204940757,Poland,Truskawki Liofilizowane,Bakaliano,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty na bazie warzyw i owoców, Przekąski, Słodkie przekąski, Produkty na bazie owoców, Produkty suszone, Owoce, Suszone produkty pochodzenia roślinnego, Owoce jagodowe, Suszone owoce, en:Raspberries",unknown,3,,,,,,,,,
2024000309381,Poland,,Mroźny Ogród,Dino,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Frozen foods, Vegetables based foods, Frozen plant-based foods, Frozen vegetables, Frozen plant-based foods mixes, Mixed vegetables, Frozen mixed vegetables, Frozen mixed diced vegetables",a,1,,,,,,,,,
5901986081586,Poland,Sok pomidorowy przecierowy,"Polskie Przetwory,Krajowa Grupa Spożywcza",,"Żywność i napoje na bazie roślin, Napoje, Żywność na bazie roślin, Produkty na bazie warzyw i owoców, Produkty na bazie warzyw, Napoje na bazie roślin, Żywność i napoje na bazie warzyw, Soki i nektary, Napoje na bazie warzyw, Pomidory i produkty z pomidorów, Sok warzywny, Soki pomidorowe, Czyste soki pomidorowe",b,3,,,,,,,,,
6408432000201,Poland,Dreamy Berries,"Oddly Good,Oddlygood",,"Plant-based foods and beverages, Fermented foods, Dairy substitutes, Desserts, Non-dairy desserts, Non-dairy fermented foods, Non-dairy yogurts, Oat milk yogurts",d,4,,,,,,,,,
5904730791298,Poland,Pierniki Bio gryczanki,Eko florka,,,unknown,,,,,,,,,,
5907771443706,Poland,Kiełki jarmużu,Uniflora,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Kiełki, en:Fresh kale sprouts, en:Kale sprouts",a,1,,,,,,,,,
5907517805478,Poland,Hummus klasyczny z preclami,SmaczneGo!,,hummus,d,3,,,,,,,,,
6263078300029,Poland,Świeże daktyle,"Palmino,Nutin",,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Dates, en:dried-fruits",d,1,,,,,,,,,
5900084233538,Poland,Ognista mieszanka przypraw,"Kamis,McCormick",,"Przyprawy, Mieszanki ziół i przypraw",e,4,,,,,,,,,
7613287556646,Poland,,"Nestlé, Winiary",,"Plant-based foods and beverages, Plant-based foods, Dried products, Dried plant-based foods, Dried products to be rehydrated, Broths, Dehydrated broths, Vegetable broths, Bouillon cubes, Dehydrated vegetable bouillons, Vegetable bouillon cubes",c,4,,,,,,,,,
4062300279773,Poland,Kaszka mleczna z biszkoptami i jabłkami,Hipp,,"Żywność dla niemowląt, en:From 4 months, en:Main meals for babies, en:Baby food jar with vegetables and starch from 4-6 months",not-applicable,4,,,,,,,,,
5907811306329,Poland,Marynowane płaty śledzia atlantyckiego z cebulą w zalewie,Fisher king,,"Seafood, Fishes, Fatty fishes, Herring",unknown,,,,,,,,,,
3856020247676,Poland,Piramidka smaku do barszczu czerwonego,"Vegeta,Natur,Podravka",,Przyprawy,a,1,,,,,,,,,
5906013000097,Poland,,Orzech,,"Meals, Soups, pl:Koncentrat barszczu czerwonego",e,3,,,,,,,,,
5900446017479,Poland,polaris niegazowany,polaris,,en:waters,unknown,1,,,,,,,,,
5900477000976,Poland,,Hortex,,,unknown,,,,,,,,,,
5900073020545,Poland,Chips Chili Limonka,Top,,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps, Potato crisps in sunflower oil",d,4,,,,,,,,,
5901330014734,Poland,Chela+Mag B6,Olimp,,Dietary supplements,not-applicable,,,,,,,,,,
5901330082160,Poland,100% peanut butter sauce,Olimp sport nutrition,,,unknown,,,,,,,,,,
5906728447514,Poland,Cocoffee Espresso Vegan Coffee Drink,Coconaut,,"Beverages, Coffee drinks",d,4,,,,,,,,,
5903933025605,Poland,,Nono,,"Meat alternatives, Meat analogues",unknown,3,,,,,,,,,
5900951014642,Poland,Dove,,,,unknown,,,,,,,,,,
14182022,Poland,Knopers,,,,unknown,,,,,,,,,,
59094425,Poland,Bajeczny,E.Wedel,,"Przekąski, Słodkie przekąski, Kakao i produkty na bazie kakao, en:Confectioneries, Batoniki, Cukierki czekoladowe",unknown,,,,,,,,,,
59095941,Poland,W W Kokos,Wedel,,Czekolada mleczna,e,,,,,,,,,,
59019169,Poland,WW Peanut butter,E.Wedel,,"Przekąski,Słodkie przekąski,en:Confectioneries",e,4,,,,,,,,,
3800020443125,Poland,Kit kat,Kit Kat,,en:chocolate-biscuity-bars,unknown,,,,,,,,,,
5901588026190,Poland,WW,,,,unknown,,,,,,,,,,
5900352015705,Poland,Grzesiek,,,,unknown,,,,,,,,,,
5902622443157,Poland,Crazoole,,,,unknown,,,,,,,,,,
6901341026374,Poland,Czekotubka,,,,unknown,,,,,,,,,,
8699462609436,Poland,Minico,,,,unknown,,,,,,,,,,
5900910008248,Poland,Decomorreno,,,en:cocoa-and-chocolate-powders,unknown,,,,,,,,,,
8711000454428,Poland,Jacobs,Jacobs,,"Kaffeegetränke,Instantpulver für Kaffee mit Milch,Cappuccinopulver",unknown,4,,,,,,,,,
5903548001971,Poland,Dobra kaloria,Dobra kaloria,,,unknown,,,,,,,,,,
5903548001964,Poland,Ziomki Mango,Dobra Kaloria,,,unknown,,,,,,,,,,
5902622443096,Poland,Bubble gum,,,en:confectioneries,unknown,,,,,,,,,,
5903175681836,Poland,Zelka,,,,unknown,,,,,,,,,,
4001686383612,Poland,Mega Roulette,Haribo,,"przekąski, słodkie-przekąski, cukiernie, pl:cukierki, pl:przekąski, pl:słodkie-przekąski",unknown,,,,,,,,,,
87354355,Poland,mentos fanta,mentos,,,unknown,,,,,,,,,,
40144160,Poland,Stork nimm2,"Storck,nimm2",,"Przekąski, Słodkie przekąski, en:Confectioneries, Cukierki",unknown,,,,,,,,,,
59070689,Poland,halls. limonka,halls.,,,unknown,4,,,,,,,,,
57030975,Poland,Halls,Halls,,"Przekąski, Słodkie przekąski, en:Confectioneries, en:Caramels",b,4,,,,,,,,,
5017375034054,Poland,Banana millions,,,"Przekąski, Słodkie przekąski, en:Confectioneries",e,,,,,,,,,,
5905256003230,Poland,,,,,unknown,,,,,,,,,,
5901456003230,Poland,,Okruszek,,"Snacks, Salty snacks, en:crisps",e,4,,,,,,,,,
5905187005655,Poland,,Lorenz,,"Snacks, Salty snacks",e,4,,,,,,,,,
2008080049528,Poland,Chipsy ziemniaczane o smaku zielonej cebulki,Sun Snacks,Aldi,"Przekąski,Słone przekąski,Chipsy ziemniaczane",d,4,,,,,,,,,
5900397749238,Poland,,Łowicz,,"Condiments, Sauces, Tomato sauces, Vegetable sauces, Tomato sauces with basil, Tomato sauces with vegetables",b,3,,,,,,,,,
28019527,Poland,Koncentrat pomidorowy 30%,"Delikato,Rolnik",,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty na bazie warzyw i owoców, Produkty na bazie warzyw, Pomidory i produkty z pomidorów, Koncentrat pomidorowy",a,1,,,,,,,,,
5907517805614,Poland,,Perla,,Meals,c,4,,,,,,,,,
5941866621631,Poland,Plant Fish White Fillet,"Unfished,PlantFish",Netto,"Alternatywy mięsa, Zastępniki mięsa, Zastępniki ryb",b,4,,,,,,,,,
5941866621624,Poland,PlantZalmon Fillet,"Unfished,PlantZalmon,Verdino Foods",Netto,"Meat alternatives, Meat analogues, Fish analogues",c,4,,,,,,,,,
5712873999187,Poland,Bagietki,Bakersfield,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Chleb, en:Baguettes",c,4,,,,,,,,,
5902114019914,Poland,Whey 100,Trec,,,unknown,,,,,,,,,,
5906874682562,Poland,Bio superfood buraki,a to dobre!,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty na bazie warzyw i owoców, Produkty na bazie warzyw, en:Prepared vegetables, en:Cooked vegetables, en:Beet, en:Cooked beetroots",a,1,,,,,,,,,
5900779331273,Poland,Surówka z ogórkiem i koperkiem,"Carrefour BIO,Carrefour",Carrefour,en:salads,a,1,,,,,,,,,
5900779331280,Poland,"Surówka z marchwią, kurkumą i pieprzem Cayenne","Carrefour BIO,Carrefour",Carrefour,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty na bazie warzyw i owoców, Produkty na bazie warzyw, Posiłki, en:Fermented vegetables, Kapusta kiszona, en:Sauerkraut with garnish",a,3,,,,,,,,,
3560071417536,Poland,AVOINE au CACAO,Carrefour,Carrefour,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Céréales et pommes de terre,Substituts de produits laitiers,Céréales et dérivés,Substituts du lait,Boissons à base de végétaux,Boissons végétales,Boissons végétales de céréales,Boissons à l'avoine",d,4,,,,,,,,,
5900541010184,Poland,ZywiecZdroj naturals limonki i mięty,,,,unknown,,,,,,,,,,
2707563002509,Poland,,Agro-Rydzyna,,"Meats and their products, Meats, Pork, Pork tenderloin, Pork tenderloin lean",d,4,,,,,,,,,
5902768469219,Poland,Gofry smakowe,,,,unknown,,,,,,,,,,
3083681050219,Poland,Duo carotte et panais Home-made,"Bonduel, Bonduelle restauration",,,unknown,,,,,,,,,,
29034659,Poland,Ciasteczka z wróżbą,Sweet & Lucky,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, en:Fortune cookies",d,4,,,,,,,,,
5900049823040,Poland,Łazanki,Lubella,,"Plant-based foods and beverages, Plant-based foods, Pastas, Dry pastas, it:Quadretti, pl:Łazanki, en:durum-wheat-pasta",a,1,,,,,,,,,
8000070024816,Poland,Kawa,,,en:coffees,unknown,,,,,,,,,,
5900512987385,Poland,Mascarpone,Lovilio,,"Nabiał, Żywność fermentowana, Fermentowane produkty mleczne, Sery, Sery włoskie, Serki kremowe, en:Mascarpone",d,3,,,,,,,,,
5902172000329,Poland,Ryż Jaśminowy,Kupiec,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Nasiona, Zboża i produkty zbożowe, Ziarna zbóż, Ryże, Ryż jaśminowy",unknown,,,,,,,,,,
28037484,Poland,,Choceur,,"Lanches comida,Lanches doces,Barras",e,,,,,,,,,,
5902911012033,Poland,Kruche,Wacuś,,"Snacks, Sweet snacks, Biscuits and cakes, en:biscuits",e,,,,,,,,,,
5905186300874,Poland,100% Roślinny kurczak,"Purella Superfoods,Purella,FoodWell",Kaufland,"Alternatywy mięsa, Zastępniki mięsa, Zastępniki mięsa z białka grochu, en:Vegan chicken",d,4,,,,,,,,,
5905187122840,Poland,,"Lorenz,Crunchips",,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps, Potato crisps in sunflower oil",d,4,,,,,,,,,
5908230532955,Poland,,"Tarczyński,Rośl-inne",,"Plant-based foods and beverages, Plant-based foods, Meat alternatives, Meat analogues, Vegetarian sausages, Meat analogues from soy or wheat proteins, Vegan sausages, pl:Roślinne kabanosy, pl:Wegańskie kabanosy",e,4,,,,,,,,,
5906731248108,Poland,Marchewka gotowana,Kraszkiewicz,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty na bazie warzyw i owoców, Produkty na bazie warzyw, Warzywa, en:Prepared vegetables, Marchew, en:Cooked vegetables, en:Cooked carrots",a,1,,,,,,,,,
9906744248528,Poland,,Kraszkiewicz,,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Legumes, Seeds, Legume seeds, Pulses, Common beans, White beans",b,1,,,,,,,,,
5905186300935,Poland,,"Purella Superfoods,Purella,FoodWell",Kaufland,"Meals, Meat alternatives, Meat analogues, Vegetarian grounds",d,4,,,,,,,,,
7040512834055,Poland,Gigant mais,Bama,,en:corn,d,,,,,,,,,,
5901588018676,Poland,GORZKA CYNAMONOWA I ŚLIWKĄ,"Wedel,Lotte,E.Wedel",,"Przekąski, Słodkie przekąski, Kakao i produkty na bazie kakao, en:Confectioneries, Cukierki czekoladowe, Czekolada, Czekolada deserowa",e,4,,,,,,,,,
5908259341293,Poland,Śliwka w czekoladzie,Jutrzenka Dobre Miasto,,"Przekąski, Słodkie przekąski, Kakao i produkty na bazie kakao, en:Confectioneries, Cukierki czekoladowe, en:Bonbons, Cukierki",e,4,,,,,,,,,
59088615,Poland,Filety z anchois,GustoBello,,"Owoce morza, Ryby, Tłuste ryby, en:Anchovy, Filety rybne, en:Anchovy fillets",e,,,,,,,,,,
5905927000735,Poland,Perła bezalkoholowa,Perła,,,unknown,,,,,,,,,,
4034167707379,Poland,Szynka szwarcwaldzka,Bell,,en:hams,e,,,,,,,,,,
5900200007845,Poland,,,,,unknown,,,,,,,,,,
5900617001962,Poland,,"I love vege,Sante",Auchan,"Plant-based foods and beverages, Plant-based foods, Spreads, Plant-based spreads, Plant-based pâtés, Vegetarian tofu pâtés",unknown,4,,,,,,,,,
8718300882548,Poland,Roślinny burger,Vivera,Auchan,"Alternatywy mięsa, Wegetariańskie kotlety, Kotlety wegańskie",c,4,,,,,,,,,
5904215158431,Poland,Cooking COCO 18%,Auchan,Auchan,"Żywność i napoje na bazie roślin,Żywność na bazie roślin,Śmietanki roślinne,Śmietanki roślinne do gotowania,Śmietanki kokosowe do gotowania",c,4,,,,,,,,,
8003250000921,Poland,Passata di pomodoro,,,"Condiments, Sauces, Sauces tomate",b,,,,,,,,,,
5900197006487,Poland,Bita śmietana,Bakoma,,"Produits laitiers,Crèmes,Crèmes fouettées",d,4,,,,,,,,,
5900983005809,Poland,Drożdże,Delecta,,,unknown,4,,,,,,,,,
8712423024595,Poland,Knor,Knorr,,,unknown,,,,,,,,,,
8712423024601,Poland,,,,,unknown,,,,,,,,,,
8712423019461,Poland,Makaron ser z bekonem,Knorr,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty suszone, Makarony, en:Dried products to be rehydrated, Kluski, Makarony instant",unknown,,,,,,,,,,
5901002008092,Poland,Chili con carne,,,en:chili-con-carne,unknown,,,,,,,,,,
5901384505653,Poland,Mushrood soup,Ajinomoto,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Posiłki, Produkty suszone, Makarony, en:Dried products to be rehydrated, Kluski, Zupy, Makarony instant, Zupy z makaronem instant",unknown,,,,,,,,,,
5901384505646,Poland,Tomato soup,Ajinomoto,,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Meals, Dried products, Pastas, Dried products to be rehydrated, Noodles, Soups, Instant noodles, Vegetable soups, Instant noodle soups",unknown,,,,,,,,,,
8712423024557,Poland,Danie makaron śmietana z ziołami,Knorr,,,unknown,4,,,,,,,,,
8720182329868,Poland,Kurkowa po podlasku,Amino,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty suszone, Makarony, en:Dried products to be rehydrated, Kluski, Makarony instant, Zupy z makaronem instant",unknown,,,,,,,,,,
5901882110120,Poland,Smak tajski krewetkowy Tom Yum,Vifon,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty suszone, Makarony, en:Dried products to be rehydrated, Kluski, Makarony instant, Zupy z makaronem instant",unknown,,,,,,,,,,
4820179254778,Poland,Zupa błyskawiczna o smaku sera i boczku,Rollton,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty suszone, Makarony, en:Dried products to be rehydrated, Kluski, Makarony instant, Zupy z makaronem instant",unknown,,,,,,,,,,
5901002008887,Poland,,,,,unknown,,,,,,,,,,
5901002009266,Poland,,,,,unknown,,,,,,,,,,
5901002003592,Poland,Pulpety w sosie pomidorowym,,,"en:meatballs in tomato sauce,en:Canned meals with meat",unknown,,,,,,,,,,
4902062003592,Poland,,,,,unknown,,,,,,,,,,
5901002003578,Poland,Fasolka po bretońsku z kiełbasą i boczkiem,Tradycyjne Smaki,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty na bazie warzyw i owoców, Posiłki, Zupy, Zupy warzywne, Dania z fasolą, Zupy z fasoli, Fasolka po bretońsku",unknown,,,,,,,,,,
5902166703496,Poland,,,,,unknown,,,,,,,,,,
5900552078784,Poland,,,,,unknown,,,,,,,,,,
5900552078777,Poland,,,,,unknown,,,,,,,,,,
5900552013914,Poland,Budyń o smaku waniliowym,Słodki kubek,,"en:Cooking helpers, en:Dessert mixes, Budyń w proszku",unknown,,,,,,,,,,
5900552078968,Poland,,,,,unknown,,,,,,,,,,
5900252000016,Poland,Nitki luksusowe 5-jajeczne,Goliard,,"Żywność i napoje na bazie roślin,Żywność na bazie roślin,Makarony,en:Egg pastas",unknown,,,,,,,,,,
5907069000024,Poland,Cukier Puder,Diamant,,Powdered sugars,unknown,2,,,,,,,,,
5903646000012,Poland,,,,,unknown,,,,,,,,,,
5903646000234,Poland,Mąka Pszenna Tortowa Typ 450,Dalachów,,,unknown,,,,,,,,,,
5900919000557,Poland,sałatka,Rolnik,,,unknown,,,,,,,,,,
5900397736047,Poland,,,,,unknown,,,,,,,,,,
5900664012157,Poland,Oliwki drylowane zielone,Ole!,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, en:Pickles, Produkty drzewa oliwnego, en:Plant-based pickles, Oliwki, Zielone oliwki, en:Pitted olives, en:Green pitted olives",unknown,,,,,,,,,,
5900664009546,Poland,Suszone pomidory w paskach w oleju z ziołami,Ole!,,"Żywność i napoje na bazie roślin,Żywność na bazie roślin,Produkty na bazie warzyw i owoców,Produkty na bazie warzyw,Produkty suszone,Suszone produkty pochodzenia roślinnego,Pomidory i produkty z pomidorów,Warzywa suszone,Pomidory suszone,Pomidory suszone w oleju",d,,,,,,,,,,
5903895633740,Poland,Tuńczyk z kuskusem perłowym i suszonymi pomidorami,"Graal,Salatino",,"Posiłki, Dania z rybami, Gotowe sałatki, Sałatki z rybami, en:tuna-salad",unknown,,,,,,,,,,
4904647001955,Poland,Wrong barcode!,,,,unknown,,,,,,,,,,
5907623262677,Poland,Paprykarz z kaszą jaglaną,Dega,,,unknown,,,,,,,,,,
4014400926279,Poland,Mamba,"Mamba, Storck",Kiwi,"en:Snacks, en:Sweet snacks, en:Confectioneries, en:Candies",e,4,,,,,,,,,
5906395711208,Poland,Tortellini z grzybami,MP Trade,,"Posiłki, Dania z makaronem, en:Stuffed pastas, Uszka, en:Mushroom tortellini",unknown,4,,,,,,,,,
5900385501640,Poland,Ketchup z truskawką,"Kotlin,MW FOOD",,"Przyprawy, Sosy, Sosy pomidorowe, Ketchup, Ketchup pomidorowy",d,4,,,,,,,,,
5900541005883,Poland,Zywiec zdroj mocny gaz,,,,unknown,,,,,,,,,,
5905186300898,Poland,100% Roślinny kurczak pikantny,"Purella Superfoods,Purella",,"Alternatywy mięsa, Zastępniki mięsa, Zastępniki mięsa z białka grochu, en:Chicken meat analogues",d,4,,,,,,,,,
5901882017849,Poland,Zupka pomidorowa,Vifon,Lidl,"Plant-based foods and beverages, Plant-based foods, Dried products, Pastas, Dried products to be rehydrated, Noodles, Instant noodles, Instant noodle soups",c,4,,,,,,,,,
5907814664303,Poland,,,,,unknown,,,,,,,,,,
5901414205164,Poland,Barbakanki w czekoladzie,Krakus,,en:biscuits,e,,,,,,,,,,
5902168580033,Poland,Pierogi,Rarytas,,,unknown,,,,,,,,,,
5902768588033,Poland,Pierogi,Rarytas,,"pl:Pierogi, pl:Pierogi z kapustą i grzybami",unknown,,,,,,,,,,
4056489622307,Poland,Jabłko Sok 100%,Solevita,Lidl,"Żywność i napoje na bazie roślin, Napoje, Napoje na bazie roślin, Napoje owocowe, Soki i nektary, Soki owocowe, Napoje niesłodzone, Soki jabłkowe",c,1,,,,,,,,,
5901135033312,Poland,,Prymat,,"Plant-based foods and beverages, Plant-based foods, Condiments, Fruits and vegetables based foods, Vegetables based foods, Dried products, Dried plant-based foods, Tomatoes and their products, Ground dried vegetables, Dried tomato powder",d,3,,,,,,,,,
