code,product_name,brands,stores,categories,nutriscore_grade,nova_group,ecoscore_grade,countries,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g
5900437027241,Budyń zbożowy waniliowy,Dr. Oetker,,"Desery,en:Puddings,en:oatmeal pudding",c,4,,Polska,,,,,,,
5900437039435,KASZKA manna z malinami,"Dr. Oetker, Słodka Chwila",Carrefour,"Semolina,Groats",b,4,,Polska,,,,,,,
5902353003248,Ryba po grecku,Seko,,"Owoce morza,en:Fishes and their products,Ryby",d,4,,Polska,,,,,,,
5901823003382,Hej de serek,OSM Radomsko,,"Молочні продукти, Ферментовані продукти, en:Desserts, en:Fermented milk products, en:Cheeses",c,,,en:Poland,,,,,,,
5900956100951,Syrop o smaku imbirowym,Herbapol,,Syrop,unknown,4,,Polska,,,,,,,
5201041015519,,Jannis,,,unknown,4,,"Belgium,Poland",,,,,,,
5906213012272,,,,,unknown,,,en:Poland,,,,,,,
5900437080109,Ciasto Czekoladowe XXL,Dr. Oetker,,"Snacks, Sweet snacks, Biscuits and cakes, Cakes, Cooking helpers, Pastry helpers, Baking Mixes, Dessert mixes, Cake mixes",unknown,,,Polska,,,,,,,
5900334005557,1,,,,unknown,,,en:poland,,,,,,,
5900259071231,Chipsy ziemniaczane o smaku śmietankowego serka z ziołami,Lay's,,,unknown,,,en:Poland,,,,,,,
5000169526460,,Waitrose,Waitrose,,unknown,,,Polska,,,,,,,
5905187908352,Polskie smaki,Top,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Przekąski, Zboża i ziemniaki, Słone przekąski, Przystawki, Chipsy i frytki, Chipsy, Chipsy ziemniaczane",d,4,,Polska,,,,,,,
0064971396548,,Tymbark,,,unknown,,,en:Poland,,,,,,,
2016611053043,,,,,unknown,,,en:Poland,,,,,,,
3700123300281,,,,"Napoje, Woda",unknown,1,,"Węgry,Polska",,,,,,,
29061884,Italian Plum Tomatoes,Marks & Spencer,Marks & Spencer,,unknown,,,en:pl,,,,,,,
8410762861047,Pizza 4 sery,Donatello,,"Posiłki, en:Pizzas pies and quiches, Pizza, en:Vegetarian pizzas, Pizza z serem, Pizza 4 sery",d,,,Polska,,,,,,,
4061445041887,Tchibo cafissimo barista,Tchibo,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Kawa",unknown,,,en:poland,,,,,,,
4046234654530,Café Crema india,Tchibo,,,unknown,,,"Polen, Germany",,,,,,,
4061445129264,Tchibo cafissimo toasted nut,Tchibo,,,unknown,,,en:poland,,,,,,,
5901588058764,Ptasie mleczko tiramisu,,,,unknown,,,en:poland,,,,,,,
5905784350295,Mleko,,,,unknown,,,en:poland,,,,,,,
20282516,Kasza manna,Golden Sun Lidl,,Kasza,b,1,,en:poland,,,,,,,
5902172000572,Kuskus,Kupiec,,,unknown,,,en:poland,,,,,,,
5907666575154,Śląskie oblaty tradycyjne słodkie,slaskie oblaty,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, en:Biscuits and crackers, Herbatnik, Wafle, Oblaty",c,3,,"Poland, Germany",,,,,,,
5907666575635,Oblaty,,,,unknown,,,en:poland,,,,,,,
20858698,Wafle kukurydziane,Tastino,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, en:Pastries, Gofry, Wafle-kukurydziane",unknown,,,en:poland,,,,,,,
5905617004616,Morele suszone,,,,unknown,,,en:poland,,,,,,,
5906747308612,Delicje Szampanskie Wiśniowe,"Delicje,Mondelez",Carrefour,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Jaffa cakes",e,4,,Poland,,,,,,,
5905617000151,Orzeszki ziemne,Helio,,,unknown,,,en:poland,,,,,,,
5905784334776,Chipsy bananowe,,,,unknown,,,en:poland,,,,,,,
5900437082998,Kakao ciemne,Dr. Oetker,,"Kakao i produkty na bazie kakao, en:Cocoa and chocolate powders, Kakao w proszku",unknown,1,,Polska,,,,,,,
5900437011110,Drożdże Suszone instant,Dr. Oetker,,"Dodatek do żywności,Drożdże,en:Yeast,Drożdże suszone",not-applicable,,,Polska,,,,,,,
5901958612800,Mus jabłkowo-marchewkowy eko,,,"Żywność i napoje na bazie roślin,Żywność na bazie roślin,Smarowidła,Roślinne smarowidła",unknown,1,,Polska,,,,,,,
5901958612640,Mus jabłkowo-wiśniowy,Owolovo,,"Desery,en:Sweet mousses,en:Fruit mousses",a,1,,Polska,,,,,,,
5908249973329,Bulion ekologiczny,EkoWital,,"Produkty suszone, en:Dried products to be rehydrated, Bulion, en:Dehydrated broths, Kostki bulionowe",unknown,,,Polska,,,,,,,
7613039591901,Bio bulion drobiowy,,,,unknown,,,en:poland,,,,,,,
5908219994170,Pasta miso jasna,House of Asia,kaufland,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Misos",e,4,,Poland,,,,,,,
5904960012354,Nasiona chia,,,,unknown,,,en:poland,,,,,,,
5900749021104,Wiórki kokosowe,,,,unknown,,,en:poland,,,,,,,
5900437082677,Wanilia bourbon z Madagaskaru z ziarenkami wanilii,Dr. Oetker,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Przyprawy, Przyprawy z niezielonych części roślin, Dodatek do żywności, Aromaty, en:Vanilla, fr:Arômes pâtisserie, Ekstrakt z wanillii",not-applicable,,,Polska,,,,,,,
5900437034829,Galaretka o smaku agrestowym,Dr. Oetker,,"en:Cooking helpers, en:Dessert mixes, Galaretka w proszku",c,,,Polska,,,,,,,
5908258306736,Słonecznik łuskany,,,,unknown,,,en:poland,,,,,,,
5901958612374,BRZOSKWINIOWO,OWOLOVO,,"Desery, en:Sweet mousses, en:Fruit mousses",a,1,,Polska,,,,,,,
5905669800341,Mąka uniwersalna,Basia,,,unknown,,,en:poland,,,,,,,
5906827015119,Mąka z ciecierzycy,,,"Żywność i napoje na bazie roślin,Żywność na bazie roślin,Mąki,en:Chickpea flours",unknown,1,,Polska,,,,,,,
5902020163183,Mąka na pizzę włoską,,,en:flours,unknown,,,en:poland,,,,,,,
5901135032698,Musztarda czeska,,,en:mustards,unknown,,,en:poland,,,,,,,
5905784349596,Krem z orzeszków ziemnych crunchy,,,,unknown,,,en:poland,,,,,,,
5900437037233,Słodka Chwila smak wiśnia,"Dr. Oetker,Słodka Chwila",,"en:Cooking helpers, en:Dessert mixes, Kisiel, Kisiel w proszku",b,4,,Polska,,,,,,,
5900437036281,Słodka Chwila - owocowy duet - mango & ananas,Dr. Oetker,,"Cooking helpers, Dessert mixes, Mixes for jelly desserts",b,4,,Polska,,,,,,,
5900437036021,Kisiel pieczone jabłko & cynamon,,,"en:Cooking helpers, en:Dessert mixes, Kisiel, Kisiel w proszku",unknown,,,Polska,,,,,,,
5900020027696,Nestle musli cherry,Nestle,Spar,"Snackek, Cukros ételek, Szeletek, Müzliszelet",c,4,,"Hungary, Poland, en:romania",,,,,,,
5902180530603,Wafle super foods jaglane quinoa,,,,unknown,,,en:poland,,,,,,,
5900820001858,Łaciata śmietanka do kawy,Mlekpol,,"Nabiał,Śmietanki",b,,,Polska,,,,,,,
5902444120700,Bio sezamki z kokosem,,,,unknown,,,en:poland,,,,,,,
5906395579761,Witamina D3 multiwitamina,Dr Vita,,Suplementy diety,not-applicable,,,Poland,,,,,,,
5907755910057,,,,Snacks,a,,,Polska,,,,,,,
4014400910810,nimm2 Boomki,"Storck,nimm2",,"Przekąski, Słodkie przekąski, en:Confectioneries, Cukierki",e,,,Polska,,,,,,,
3560071230500,Amérique Latine,"Carrefour BIO, Carrefour","Carrefour,carrefour.fr","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Cafés",b,,,"France, Italie, Pologne, Roumanie, Espagne",,,,,,,
5900531011016,Serek homogenizowany waniliowy,Piątnica,,"Nabiał,Żywność fermentowana,Fermentowane produkty mleczne,Sery,Desery,Desery mleczne,Fermentowane desery mleczne,en:Fresh cheeses,Serki kremowe,Serek homogenizowany",c,4,,"Polska,Zjednoczone Królestwo",,,,,,,
4056489180227,Zupa Inspiracja Tajska,"Chef Select,Lidl",,"Meals,Soups",c,4,,Poland,,,,,,,
5900497331500,Mirinda,Pepsi-cola,,"Żywność i napoje na bazie roślin,Napoje,Napoje na bazie roślin,Napoje gazowane,Napoje owocowe,en:Sodas,Napoje słodzone",e,4,,Polska,,,,,,,
8012666006953,Thon albacore À l'huile d'olive,Carrefour,Carrefour,"Produits de la mer, Poissons et dérivés, Conserves, Poissons, Poissons gras, Poissons en conserve, Thons, Thons en conserve, Thons à l'huile, Thons tropicaux, Thons à l'huile d'olive, Thons albacore, it:Tonno all'olio d'oliva",unknown,3,,"en:france, Italie, Pologne, Roumanie",,,,,,,
2983970003425,,,,,unknown,,,en:Poland,,,,,,,
5901330012631,Dominator Strong Energy Drink Black Edition,Olimp Laboratories Sp. z o.o,,"Napoje, Napoje energetyczne",c,,,en:Poland,,,,,,,
